"","city","permits_issued","permits_returned","permits_not_returned","permits_fished","no_return_but_fished","fishery","red","king","coho","pink","chum","flounder","exp_reds","exp_kings","exp_coho","exp_pink","exp_chum","exp_flounder"
"38","BIG LAKE",143,119,24,84,16.43,"KENAI",712,0,0,32,0,14,851,0,0,38,0,16.7383333333333
"39","BIG LAKE",143,119,24,84,16.43,"UNKNOWN",10,0,0,3,1,0,12,0,0,4,1,0
"40","BIRD CREEK",2,1,1,1,0.68,"KASILOF DIPNET",2,0,0,0,0,0,3,0,0,0,0,0
"41","CANTWELL",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","CHANDLER",1,0,1,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","CHEFORNAK",1,0,1,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","CHENEGA BAY",1,0,1,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","CHERRY HILL",1,1,0,1,0,"KASILOF DIPNET",28,0,0,0,0,0,28,0,0,0,0,0
"46","CHESTERLAND",1,1,0,1,0,"KENAI",2,0,1,0,0,0,2,0,1,0,0,0
"47","CHEVAK",1,0,1,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","CHICKALOON",10,6,4,5,2.74,"FISH CREEK",22,0,0,0,0,0,34,0,0,0,0,0
"49","CHICKALOON",10,6,4,5,2.74,"KENAI",75,0,0,0,0,0,116,0,0,0,0,0
"50","CHICKEN",1,0,1,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","CHIGNIK",2,1,1,1,0.68,"KENAI",43,0,0,7,0,0,72,0,0,12,0,0
"52","CHIGNIK LAGOON",1,1,0,1,0,"KASILOF DIPNET",0,0,0,0,0,0,0,0,0,0,0,0
"53","CHINIAK",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
